pesel,wojewodztwo,dpd_max_3,id_branzy,id_doradcy,id_kanalu_pozyskania,id_klienta,id_oddzialu,id_plec,id_pracownika_centrali,id_stanu_cywilnego,id_statusu_wlascicielskiego,id_uzytkownika_ph,id_wniosku,kwota_pozyczki,liczba_dzieci,pozostalo_prowizja_min_3,wiek,pd
44112607890,mazowieckie,11,1,331,1,1,113,1,0,4,4,0,0,2000,0,40,67,"0,195361904"
82070918229,podkarpackie,6,1,1637,4,311601,56,1,1851,2,4,0,1333219,4000,1,5529,34,"0,1036676389"
49081004215,małopolskie,17,0,1373,0,228289,50,2,0,1,1,0,1333227,3000,0,0,67,"0,151094905"
73093006709,pomorskie,25,9,2403,2,223885,108,1,1427,6,1,1517,1333229,5000,0,2916,43,"0,363975859"
61050902445,warmińsko-mazurskie,21,0,612,0,5302,10,1,0,2,5,0,1333235,5000,2,16032,55,"0,0809100583"
73093006709,pomorskie,25,9,2403,2,223885,108,1,1427,6,1,1517,1333229,5000,0,2916,43,"0,363975859"
52012012188,warmińsko-mazurskie,0,0,1389,0,248015,12,1,0,4,1,0,1333231,3000,0,2739,65,"0,0717883418"
87092301062,lubuskie,-25,12,1065,4,374855,105,1,465,1,4,0,1333249,2000,1,0,29,"0,0582559011"
47030902331,wielkopolskie,1,0,1339,0,29122,34,2,0,2,4,0,1333067,3000,0,9528,69,"0,132948651"
,wielkopolskie,-1,0,939,0,212603,82,1,0,4,1,0,1333267,2000,0,0,66,"0,0760442494"
,łódzkie,8,0,881,0,43391,76,1,0,2,3,0,1333277,2000,0,7864,67,"0,098675616"
,lubelskie,0,0,691,0,375703,29,1,0,2,5,0,1333251,7000,0,0,69,"0,0298940968"
,zachodniopomorskie,0,0,2107,4,375699,79,1,2405,4,2,0,1333305,3000,0,0,58,"0,0870539754"
,śląskie,0,0,1569,4,375301,55,1,2429,4,1,0,1330737,3000,0,0,58,"0,0536830033"
,wielkopolskie,3,0,1539,0,241793,25,1,0,2,1,0,1333317,5000,0,8441,65,"0,0678310632"
,warmińsko-mazurskie,0,0,1555,0,375707,12,1,0,2,1,0,1333301,2000,0,0,53,"0,0298693634"
,wielkopolskie,0,9,1271,2,341893,115,2,1313,2,4,1453,1333295,7000,0,26621,54,"0,1083189625"
,mazowieckie,14,6,1293,2,255831,9,2,246,2,4,1175,1333341,3000,0,0,25,"0,259566623"
,mazowieckie,0,0,2433,0,250121,20,1,0,4,1,0,1333325,3000,0,0,66,"0,0402964027"
,pomorskie,0,0,2312,4,375711,117,2,0,1,1,0,1333259,500,0,0,33,"0,1024963639"
,wielkopolskie,0,9,1271,2,341893,115,2,1313,2,4,1453,1333369,3000,0,26621,54,"0,1083189625"
,podkarpackie,0,7,1211,4,375715,51,2,2205,2,1,0,1333323,3000,1,0,35,"0,1520791431"
,małopolskie,0,0,959,2,260769,89,2,2389,2,3,1186,1333359,5000,1,0,56,"0,1141437646"
,wielkopolskie,16,0,1613,0,275287,82,2,0,3,1,0,1333397,3000,0,10937,60,"0,340811867"
,łódzkie,0,0,1489,2,288183,83,1,1313,1,3,1305,1333401,2000,0,8035,47,"0,2089611625"
,lubelskie,0,0,691,0,375703,29,1,0,2,5,0,1333251,7000,0,0,69,"0,0298940968"
,lubelskie,2,9,2279,0,206327,19,2,0,2,1,0,1333445,5000,0,0,50,"0,0279020422"
,mazowieckie,0,0,671,0,226331,18,2,0,2,1,0,1333443,5000,0,0,77,"0,0464604659"
,pomorskie,0,0,1127,0,375719,117,1,0,1,1,0,1333435,3000,0,0,79,"0,0578585737"
,pomorskie,-9,0,423,4,41722,48,2,1201,2,2,0,1333475,5000,0,0,60,"0,0492489637"
,mazowieckie,0,0,1105,0,237367,69,2,0,2,4,0,1333477,2000,2,22389,64,"0,097356407"
,małopolskie,0,13,742,0,52873,67,1,0,2,1,0,1333499,2000,0,0,60,"0,0458673638"
,wielkopolskie,0,0,1165,4,373851,35,2,1503,2,1,0,1333501,5000,0,0,62,"0,0445372104"
,lubuskie,1,0,1065,0,252429,105,2,0,2,1,0,1333433,5000,3,0,50,"0,0453307486"
,wielkopolskie,-2,13,1237,4,302843,114,2,2417,2,1,0,1333339,15000,0,0,72,"0,0416956856"
,warmińsko-mazurskie,1,0,2237,0,301971,42,1,0,4,1,0,1333581,4000,0,0,75,"0,0427019098"
,kujawsko-pomorskie,3,13,92,4,53531,2,1,2417,2,1,0,1333583,5000,0,0,55,"0,0272430302"
,wielkopolskie,2,6,228,0,225233,35,2,0,2,2,0,1333575,3000,2,51793,38,"0,1675129841"
,wielkopolskie,0,6,1271,4,375727,115,1,895,1,1,0,1333439,3000,0,0,55,"0,0443160087"
,małopolskie,0,0,1635,0,311841,53,1,0,4,1,0,1333603,3000,1,0,56,"0,0842534243"
,pomorskie,0,0,2235,0,375729,28,2,0,3,1,0,1333537,15000,0,0,65,"0,0728972243"
,małopolskie,0,0,1373,2,375731,50,2,2389,2,1,1186,1333563,2000,0,0,53,"0,0950108272"
,zachodniopomorskie,0,0,2221,0,231963,78,1,0,4,1,0,1333579,3000,0,2916,65,"0,0847908196"
,łódzkie,0,13,2423,0,305995,77,1,0,2,2,0,1333623,3000,0,0,29,"0,05863704"
,dolnośląskie,0,0,1641,2,375733,103,1,1407,4,1,1730,1333571,3000,0,0,61,"0,0728607797"
,zachodniopomorskie,15,13,1457,0,292929,87,1,0,2,1,0,1333643,3000,1,7745,50,"0,1427734974"
,dolnośląskie,0,0,1425,2,375735,97,1,1469,4,1,1186,1333593,3000,0,0,57,"0,0844388078"
,kujawsko-pomorskie,3,13,92,4,53531,2,1,2417,2,1,0,1333583,5000,0,0,55,"0,0272430302"
,mazowieckie,0,0,1293,0,223453,9,1,0,2,1,0,1333651,3000,1,0,57,"0,0811801997"
,kujawsko-pomorskie,0,6,857,0,375737,26,2,0,2,1,0,1333553,3000,0,0,61,"0,0632048805"
,mazowieckie,2,0,646,0,291473,43,1,0,4,1,0,1333649,3000,0,0,64,"0,0556353001"
,wielkopolskie,2,6,228,0,225233,35,2,0,2,1,0,1333575,3000,2,51793,38,"0,1117125846"
,podlaskie,0,8,837,2,375741,16,2,1095,3,2,1186,1333531,3000,0,0,38,"0,2724555635"
,małopolskie,0,0,1635,0,311841,53,1,0,4,1,0,1333689,3000,1,0,56,"0,0842534243"
,kujawsko-pomorskie,0,10,313,0,63044,24,2,0,1,1,0,1333669,5000,0,0,44,"0,061228298"
,pomorskie,0,11,2385,4,375743,41,2,2405,1,4,0,1333451,3000,0,0,24,"0,2257617715"
,mazowieckie,2,0,646,0,291473,43,1,0,4,1,0,1333649,2500,0,0,64,"0,0556353001"
,dolnośląskie,0,4,2427,4,374491,101,1,1579,1,4,0,1325255,3000,0,0,31,"0,1910301255"
,świętokrzyskie,0,6,1857,4,374341,39,2,2227,2,4,0,1333709,3000,1,0,32,"0,0495636396"
,łódzkie,0,0,883,0,375747,75,2,0,1,5,0,1333645,4000,0,0,65,"0,0563186972"
,mazowieckie,14,1,1105,0,224095,69,1,0,2,1,0,1333733,3000,0,0,58,"0,0246902166"
,śląskie,0,0,1569,4,375301,55,1,2429,4,1,0,1330737,3000,0,0,58,"0,0536830033"
,mazowieckie,-1,0,2314,0,363447,43,1,0,2,1,0,1333761,3000,0,6250,74,"0,0647075969"
,pomorskie,-3,13,1443,0,281469,41,1,0,2,1,0,1333767,5000,0,0,48,"0,0383693869"
,pomorskie,1,6,498,0,71917,49,1,0,2,1,0,1333751,3000,0,0,53,"0,0466298345"
,mazowieckie,9,6,1753,0,310963,18,1,0,2,1,0,1333729,4000,1,24861,30,"0,1904728226"
,wielkopolskie,-5,0,1165,0,360489,35,1,0,4,1,0,1333773,3000,0,43248,84,"0,0879719464"
,warmińsko-mazurskie,0,0,566,0,255027,28,1,0,4,1,0,1333757,5000,0,0,76,"0,0313817026"
,małopolskie,0,13,1373,4,375749,50,2,0,1,4,0,1333703,2000,0,0,26,"0,2090988704"
,mazowieckie,-1,0,2314,0,363447,43,1,0,2,1,0,1333761,4300,0,6250,74,"0,0647075969"
,wielkopolskie,-4,0,1613,0,300521,82,1,0,2,2,0,1333769,3000,1,2916,36,"0,2063605486"
,małopolskie,0,0,1827,2,375751,50,2,2429,2,2,1453,1333721,2000,0,0,61,"0,1438194121"
,podkarpackie,0,0,1211,0,248735,51,2,0,2,1,0,1333781,3000,0,0,64,"0,053113849"
,podkarpackie,-1,0,2289,0,69629,45,1,0,2,4,0,1333783,2000,0,12684,75,"0,1355474955"
,wielkopolskie,0,4,1451,0,375753,115,1,0,3,1,0,1333683,3000,1,0,46,"0,0688728956"
,warmińsko-mazurskie,0,0,566,0,255027,28,1,0,4,1,0,1333757,5000,0,0,76,"0,0313817026"
,świętokrzyskie,0,6,666,4,351287,39,1,2417,3,1,0,1333793,5000,2,0,42,"0,0331353384"
,mazowieckie,-1,0,2314,0,363447,43,1,0,2,1,0,1333805,3000,0,6250,74,"0,0647075969"
,mazowieckie,9,6,1753,0,310963,18,1,0,2,1,0,1333813,4000,0,24861,30,"0,1227586364"
,łódzkie,7,13,1489,0,73033,83,2,0,2,1,0,1333819,2500,0,25514,57,"0,0824922603"
,warmińsko-mazurskie,0,0,566,0,255027,28,1,0,4,1,0,1333821,3000,0,0,76,"0,0313817026"
,mazowieckie,-1,0,2314,0,363447,43,1,0,2,1,0,1333833,2000,0,6250,74,"0,0647075969"
,podkarpackie,0,0,1211,0,248735,51,2,0,2,1,0,1333837,2000,0,0,64,"0,053113849"
,wielkopolskie,3,0,622,0,241793,25,1,0,2,1,0,1333839,5000,0,8441,65,"0,0678310632"
,pomorskie,18,3,1947,4,332119,28,2,1095,2,1,0,1333861,4000,0,0,47,"0,0511613895"
,zachodniopomorskie,0,13,961,0,375759,78,1,0,2,1,0,1333799,3000,0,0,54,"0,0405163172"
,wielkopolskie,3,0,2399,0,241793,25,1,0,2,1,0,1333897,5000,0,8441,65,"0,0678310632"
,pomorskie,0,0,2235,0,375729,28,2,0,3,1,0,1333907,2000,0,0,65,"0,0728972243"
,łódzkie,1,0,1489,0,286649,83,1,0,4,1,0,1333909,2000,0,0,76,"0,0305662516"
,mazowieckie,3,0,319,0,30400,7,1,0,4,1,0,1333803,4000,0,0,68,"0,0566363296"
,pomorskie,0,11,2385,4,375743,41,2,2405,1,4,0,1333451,3000,0,0,24,"0,2257617715"
,małopolskie,0,0,1373,4,375773,50,2,2405,2,5,0,1333867,2000,0,0,65,"0,073913224"
,wielkopolskie,0,0,228,0,66240,35,1,0,2,1,0,1333917,5000,0,0,62,"0,0320946885"
,małopolskie,0,0,1409,0,375775,53,1,0,4,1,0,1333901,3000,0,0,81,"0,0635353105"
,łódzkie,4,0,1129,0,333399,83,2,0,3,1,0,1333943,3000,0,17170,70,"0,1319700012"
,mazowieckie,0,13,871,0,375779,66,1,0,2,3,0,1333715,2000,0,0,46,"0,0839928997"
,małopolskie,15,0,759,0,61624,63,2,0,2,1,0,1333959,2000,0,0,66,"0,063729986"
,mazowieckie,0,0,1251,4,263413,112,1,1469,4,1,0,1333937,15000,0,0,65,"0,0469618602"
,świętokrzyskie,18,0,2213,0,66535,45,1,0,2,1,0,1334013,2000,0,16080,67,"0,0978362361"
,warmińsko-mazurskie,0,0,566,0,255027,28,1,0,4,1,0,1334025,2000,0,0,76,"0,0313817026"
,zachodniopomorskie,15,9,2229,0,267685,85,1,0,2,2,0,1334037,3000,3,0,45,"0,0921739693"
,podlaskie,3,0,837,0,239043,16,1,0,2,1,0,1334053,5000,0,0,67,"0,0405185093"
,kujawsko-pomorskie,0,13,2233,4,375791,24,1,2405,2,1,0,1333935,3000,0,0,55,"0,0303078575"
,opolskie,1,0,1177,0,217303,93,1,0,2,1,0,1334065,3000,0,0,60,"0,0678217939"
,podlaskie,0,0,1561,0,41833,15,1,0,1,1,0,1333995,3000,0,0,64,"0,1030805811"
,wielkopolskie,3,6,1165,0,60744,35,2,0,3,2,0,1334067,5000,0,0,51,"0,1562330395"
,małopolskie,15,0,759,0,61624,63,2,0,2,1,0,1334061,4950,0,0,66,"0,063729986"
,śląskie,0,13,1115,2,338957,58,1,435,2,1,1175,1333989,5000,1,0,38,"0,1344182767"
,małopolskie,0,0,1373,0,375795,50,1,0,2,5,0,1334055,2000,0,0,66,"0,0537252884"
,mazowieckie,3,0,2331,0,320881,13,1,0,4,2,0,1334101,3000,0,2287,86,"0,111605428"
,dolnośląskie,0,13,1855,2,373909,111,2,1201,2,2,1186,1333963,2000,0,0,39,"0,1793799841"
,mazowieckie,0,0,1251,4,263413,112,1,1469,4,1,0,1333937,15000,0,0,65,"0,0469618602"
,łódzkie,-7,0,1129,0,309753,83,1,0,2,3,0,1334089,3000,0,6955,62,"0,0561513485"
,podkarpackie,0,0,1755,0,375797,51,1,0,2,1,0,1334095,4000,0,0,70,"0,0383714675"
,łódzkie,0,10,1197,0,375799,40,1,0,2,1,0,1333947,3000,0,0,56,"0,0166303411"
,małopolskie,7,10,1635,0,69912,53,1,0,2,1,0,1334155,5000,1,0,35,"0,0860460218"
,wielkopolskie,0,4,1339,0,375803,34,1,0,2,1,0,1334063,3000,1,0,41,"0,09770413"
,wielkopolskie,3,0,2399,0,241793,25,1,0,2,1,0,1334195,4600,0,8441,65,"0,0678310632"
,podlaskie,0,13,837,0,248357,16,2,0,2,1,0,1334185,3000,0,0,59,"0,0603465937"
,wielkopolskie,3,0,939,4,297745,82,1,2417,2,1,0,1334163,3000,0,0,69,"0,0587671002"
,łódzkie,0,0,1489,2,375805,83,1,2287,4,2,1186,1334157,3000,0,0,73,"0,0809267556"
,warmińsko-mazurskie,3,0,1947,4,255861,28,1,893,4,5,0,1334247,4000,1,0,39,"0,0591545265"
,kujawsko-pomorskie,1,0,1629,0,30656,8,1,0,2,1,0,1334239,4950,0,0,68,"0,0362241829"
,mazowieckie,0,0,671,4,375813,18,1,2205,2,1,0,1334199,3000,2,0,29,"0,0442178232"
,mazowieckie,10,8,301,4,359023,38,2,955,2,4,0,1334271,2000,1,12500,38,"0,3431204638"
,dolnośląskie,1,0,1425,2,324179,97,2,1315,2,1,1517,1334293,2000,0,0,54,"0,0850308065"
,pomorskie,0,13,2101,0,297121,27,2,0,2,1,0,1334303,6000,0,0,62,"0,0560347352"
,małopolskie,0,0,1827,4,375821,50,1,1407,3,2,0,1334207,700,1,0,41,"0,1573009257"
,wielkopolskie,3,0,622,4,297745,82,1,2417,2,1,0,1334317,5000,0,0,69,"0,0587671002"
,mazowieckie,1,9,819,4,318533,62,1,895,2,4,0,1334337,5000,1,7020,32,"0,1571371635"
,wielkopolskie,3,0,622,4,297745,82,1,2417,2,1,0,1334317,7000,0,0,69,"0,0587671002"
,lubelskie,29,0,689,0,64380,17,1,0,2,1,0,1334405,3500,0,11450,70,"0,0814245112"
,warmińsko-mazurskie,1,0,1555,0,286839,12,1,0,3,1,0,1334423,3000,0,0,60,"0,060404567"
,śląskie,0,13,1241,4,295061,31,2,1407,2,1,0,1334451,3000,2,2500,33,"0,086688497"
,kujawsko-pomorskie,0,0,1629,2,355157,8,1,1265,2,1,1186,1334439,4950,0,0,59,"0,0615634604"
,pomorskie,0,0,2235,0,375827,28,2,0,2,1,0,1334371,4000,0,0,60,"0,0369573452"
,śląskie,0,6,959,2,332151,89,2,1407,1,1,348,1334449,3000,0,0,41,"0,0936058389"
,śląskie,0,4,1619,4,358113,109,2,1203,1,1,0,1334297,15000,0,0,27,"0,1275553773"
,małopolskie,0,0,1373,4,54305,50,1,1097,4,1,0,1334413,2000,0,0,78,"0,0563299343"
,lubuskie,0,0,1065,0,246787,105,1,0,2,1,0,1334485,2500,1,0,58,"0,0267271561"
,mazowieckie,3,0,835,0,289737,68,1,0,4,3,0,1334493,4000,0,9647,78,"0,1577691489"
,warmińsko-mazurskie,-5,0,2237,0,73461,42,2,0,3,1,0,1334443,5000,0,12833,62,"0,1535861142"
,mazowieckie,1,0,1105,0,305117,69,1,0,4,1,0,1334511,3000,0,0,65,"0,0349617261"
,małopolskie,1,0,1635,0,347059,53,1,0,2,4,0,1334513,5000,0,21044,68,"0,128835248"
,łódzkie,0,0,1489,2,375805,83,1,2287,4,2,1186,1334157,3000,0,0,73,"0,0809267556"
,podkarpackie,15,0,1211,0,48018,51,1,0,2,1,0,1334525,5000,0,0,65,"0,0503108323"
,podkarpackie,15,0,1211,0,48018,51,1,0,2,1,0,1334579,2500,0,0,65,"0,0503108323"
,mazowieckie,1,0,1987,0,59857,18,1,0,2,1,0,1334595,5000,0,3500,71,"0,0587436793"
,podkarpackie,15,0,1211,0,48018,51,1,0,2,1,0,1334621,5000,0,0,65,"0,0503108323"
,lubelskie,0,0,2279,4,19776,19,2,1603,3,1,0,1334627,3000,0,0,66,"0,061595852"
,wielkopolskie,25,1,1565,0,255453,106,1,0,3,3,0,1334619,2000,1,0,39,"0,1685768546"
,śląskie,0,0,1133,2,342029,64,2,1507,3,1,1453,1334601,3000,0,0,70,"0,1697298105"
,małopolskie,7,3,1409,0,57086,53,1,0,2,1,0,1334665,3000,2,8194,51,"0,0885144518"
,kujawsko-pomorskie,0,0,1629,0,70391,8,1,0,2,1,0,1334683,4950,1,0,58,"0,0583923455"
,łódzkie,1,6,1291,0,205917,44,1,0,2,1,0,1334673,5000,0,0,28,"0,0324985015"
,małopolskie,0,6,1827,2,375849,50,2,1095,2,4,1186,1334563,3000,2,0,35,"0,1782699055"
,świętokrzyskie,0,0,1417,0,201075,32,1,0,3,1,0,1334647,2000,0,0,67,"0,0323803877"
,łódzkie,0,0,1489,0,375855,83,1,0,4,2,0,1334667,7000,0,0,59,"0,0471690426"
,dolnośląskie,0,13,1037,4,375857,110,2,2417,2,5,0,1334557,2000,1,0,48,"0,1486680861"
,wielkopolskie,0,11,622,0,257593,115,2,0,2,1,0,1334707,5000,0,0,49,"0,0360725055"
,śląskie,0,0,1619,2,313785,109,1,2339,4,1,1186,1334609,4000,0,0,61,"0,0594723934"
,lubelskie,2,9,2279,0,206327,19,2,0,2,1,0,1334677,5000,0,0,50,"0,0279020422"
,śląskie,17,0,1259,0,202555,52,1,0,4,3,0,1334765,15000,0,0,73,"0,1356843139"
,mazowieckie,1,13,1293,2,321149,9,1,895,2,4,1186,1334787,3000,0,0,25,"0,1632273631"
,śląskie,17,0,1259,0,202555,52,1,0,4,3,0,1334765,15000,0,0,73,"0,1356843139"
,świętokrzyskie,0,0,2213,4,375877,45,2,1265,2,1,0,1334781,3000,0,0,45,"0,0460258919"
,mazowieckie,4,0,2433,4,282885,20,1,1507,2,1,0,1334757,2500,0,0,57,"0,0308697603"
,mazowieckie,-33,0,319,0,374761,7,2,0,3,1,0,1334815,4000,0,5000,66,"0,0981745125"
,łódzkie,4,4,1291,4,237135,44,1,973,4,1,0,1334805,5000,0,12715,41,"0,0973723046"
,mazowieckie,0,11,1949,4,375881,113,2,955,1,1,0,1334771,2000,0,0,41,"0,2482729718"
,wielkopolskie,0,6,1271,0,370807,115,2,0,4,1,0,1334463,5000,0,0,64,"0,0406498746"
,śląskie,5,0,1241,0,269519,31,1,0,4,1,0,1334835,7000,0,9771,57,"0,0645786163"
,łódzkie,2,0,1129,0,313643,83,1,0,2,3,0,1334833,3000,0,11429,69,"0,0823621008"
,śląskie,5,0,1569,0,244155,55,1,0,2,1,0,1334819,5000,0,9925,70,"0,0719161854"
,pomorskie,0,0,1537,2,240661,47,1,435,4,4,1175,1334853,3000,0,0,76,"0,0732432208"
,podkarpackie,16,13,2419,0,216561,65,1,0,2,5,0,1334895,3000,0,20071,60,"0,1760280695"
,mazowieckie,-1,4,819,4,340837,62,1,1541,1,4,0,1334915,3000,0,0,28,"0,1804717655"
,wielkopolskie,0,8,1165,0,67305,35,1,0,3,4,0,1334919,5000,0,0,35,"0,1221458741"
,śląskie,0,3,1259,4,375891,52,2,1407,3,5,0,1334857,10000,0,0,55,"0,1501209303"
,zachodniopomorskie,7,13,1285,2,207957,84,1,1627,3,4,1186,1334925,3000,0,0,47,"0,0894032314"
,kujawsko-pomorskie,-7,9,92,0,213137,2,1,0,4,1,0,1334921,5000,1,0,49,"0,0325841157"
,śląskie,0,0,1619,2,366177,109,1,2135,4,4,1186,1334877,3000,0,0,56,"0,0787687714"
,podlaskie,0,6,837,2,375899,16,2,1541,2,1,1453,1334875,3000,0,0,61,"0,1025204352"
,podlaskie,0,0,2223,0,2382,6,1,0,2,1,0,1334939,3000,0,10940,79,"0,0823460792"
,zachodniopomorskie,0,13,1429,0,220521,81,1,0,1,4,0,1334983,2000,1,0,29,"0,1422342223"
,mazowieckie,4,0,2433,4,282885,20,1,1507,2,1,0,1334999,3000,0,0,57,"0,0308697603"
,pomorskie,4,0,1563,0,252081,27,1,0,2,3,0,1334997,3000,0,0,68,"0,0656325089"
,warmińsko-mazurskie,-3,0,2237,0,64330,42,1,0,4,1,0,1334971,4000,0,0,73,"0,039717163"
,kujawsko-pomorskie,0,10,1629,2,375913,8,1,1627,2,1,1470,1334923,4950,0,0,36,"0,0485052953"
,mazowieckie,4,0,2433,4,282885,20,1,1507,2,1,0,1335043,3000,0,0,57,"0,0308697603"
,dolnośląskie,8,0,1641,0,256341,103,2,0,2,1,0,1335019,3000,0,0,52,"0,0483585595"
,kujawsko-pomorskie,0,13,2233,0,375917,24,2,0,2,1,0,1334959,3000,0,0,25,"0,0549295646"
,mazowieckie,12,0,2131,0,43157,13,2,0,3,1,0,1335035,5000,0,0,67,"0,0964259203"
,warmińsko-mazurskie,-2,0,1607,0,5247,10,1,0,3,3,0,1335059,5000,0,0,60,"0,062988849"
,wielkopolskie,0,6,1565,4,375921,106,1,2429,1,4,0,1334969,2000,0,0,25,"0,1293183779"
,zachodniopomorskie,20,13,1499,0,255523,86,1,0,2,2,0,1335091,3000,1,14429,50,"0,1893721239"
,świętokrzyskie,0,0,1373,4,375923,50,2,0,2,1,0,1335055,2000,0,0,63,"0,0353418274"
,mazowieckie,-1,13,2433,0,350073,20,1,0,3,3,0,1335099,3000,0,0,45,"0,107188991"
,świętokrzyskie,1,6,1857,0,46875,39,1,0,2,1,0,1335125,2000,0,0,51,"0,0124133732"
